rsum gene_name
32887248 Malat1
8081532 Kcnip4
6851788 Meg3
6840044 Ptprd
5639763 Rbfox1
5567012 Lsamp
5446762 Nrxn3
5424494 Celf2
5183233 Dlg2
4953484 Nrg3
4832245 Dpp10
4749907 Pcdh9
4572508 Csmd1
4448982 Nrxn1
3619470 Fgf14
3416669 Cadm2
3360662 Nlgn1
3157533 Lrrtm4
3126623 Syt1
3073985 Tenm2
3041029 Nrg1
2821161 Cntnap2
2782094 Opcml
2698795 Phactr1
2679046 Adgrb3
2647214 Lrp1b
2587173 Nkain2
2502828 Kcnd2
2475437 Il1rapl1
2312862 Lrrc4c
2298572 Magi2
2176922 Sgcz
2143189 Snhg11
2136654 Lingo2
2136356 Nalf1
2023779 Mdga2
1996916 Dlgap1
1953944 Grm7
1918937 Anks1b
1913974 Ntm
1898159 Nav3
1789318 Ctnna2
1773063 Auts2
1732360 Negr1
1622639 Ank2
1614722 Kcnq5
1558687 Macrod2
1558160 Grm5
1539026 Plcb1
1523630 Rora
1520065 Fgf12
1513028 Asic2
1494599 Kcnma1
1462876 Lrrc7
1442792 Ctnnd2
1418174 Erc2
1417899 Galntl6
1379718 Kcnh7
1357872 Hs6st3
1345075 Adgrl3
1335574 Ralyl
1329815 Rims1
1326351 Ank3
1301582 Kalrn
1295160 Cntn5
1290687 Pde4d
1285260 Dmd
1260855 Gria2
1245129 Dab1
1237716 Grik2
1229524 Csmd3
1226423 Frmpd4
1200999 Etl4
1161336 Kctd16
1148343 Ppp3ca
1141884 Frmd4a
1139313 Grin2a
1117661 Ccser1
1105627 Cntn4
1104265 Arpp21
1098510 Grin2b
1092316 Grid2
1085863 Dcc
1079037 Dlgap2
1059725 Cadps
1045539 Pcdh7
1035428 Xkr4
1019130 Erbb4
1011037 Robo1
1008387 Nbea
999402 Lrfn5
975398 Ncam2
964909 R3hdm1
958990 Gria4
953630 Epha6
917417 Sntg1
899166 Schip1
896997 Snhg14
896865 Gria1
889676 Oxr1
874702 Cacna2d3
872696 Pde4b
872259 Car10
867873 Kcnq3
851899 Tcf4
851871 Rims2
844068 Gabrb1
830149 Agbl4
828867 Pde10a
822493 Gria3
819627 Kirrel3
813982 Trpm3
811212 Slc24a2
810496 Dclk1
808624 Dgkb
795554 Slc8a1
790152 Rgs7
790001 Pcdh15
775827 B3galt1
767267 Mgat4c
767189 Dpp6
762727 Prkg1
760018 Tafa1
757622 Gabrb3
754336 Kcnb2
748013 Sorbs2
745877 Hivep2
745536 Gabrg3
741055 Dgki
740029 Unc5d
725680 Ppp2r2b
721153 Ube2e2
720494 Atxn1
718297 Cdh18
716610 Large1
710905 Cacna2d1
705504 Ryr2
704800 Pbx1
700959 Gpc5
700773 Strbp
698654 Snap25
691424 Tenm4
687212 Ptprn2
